total,bed,bath,square,lot,price,type,built,garage,address,city,state,zip,elementary school,middle school,high school,Collateral,CoreLogic,Quantarium
"1,760,000",6,4,3078,2375,572,Multi-Family Home,1960,5 Cars,3024 22nd St,San Francisco,CA,94110,2,7,5,$2095000 $1364832 $1523354,,$1241523 $1126556 $1221205
"1,695,000",4,2,1870,2500,906,Single Family Home,1910,,1420 Alabama St,San Francisco,CA,94110,Not rated,4,2,$1589000 $1217036 $1358392,$1643900 $1286600 $1623900,$1596465 $1394619 $1511789
"1,995,000",2,1.5,2620,2917,761,Single Family Home,1900,,977 Valencia St,San Francisco,CA,94110,2,4,4,$2447000 $2459734 $2491743,$3142200 - $3558900,$2037342 $2342971 $2284584
"2,195,000",4,3.5,2178,,"1,008",Single Family Home,1908,,301 Nevada St,San Francisco,CA,94110,2,2,2,$1804000 $1569192 $1751450,$2175200 $1776500 $2232500,$2074668 $1942903 $2140403
"1,449,000",3,1.5,1656,,875,Single Family Home,1960,,1063 Powhattan Ave,San Francisco,CA,94110,2,2,2,$1703000 $1467925 $1638420,$1795400 $1240000 $1720100,$1099479 $1153356 $1250256
"995,000",2,1.5,1141,,"1,104",Condo,1954,1 Car,22 Day St Unit 22A,San Francisco,CA,94110,Not rated,3,2,$2358000 $1570104 $1752468,,$2655033 $2460796 $2667542
"1,600,000",3,1,1418,,"1,128",Condo,1909,2 Cars,655 Guerrero St,San Francisco,CA,94110,2,4,4,$1665000 $1570104 $1752468,$1684600 $1443200 $1664200,$1550873 $1415614 $1681904
"999,000",2,1,1060,,942,Condo,1967,1 Car,292 Precita Ave,San Francisco,CA,94110,Not rated,2,2,$1799000 $1521317 $1521317,$1670500 $2061400 $2061400,$2288623 $2311581 $2311581
"895,000",2,1,996,,,Single Family Home,1987,,7 Eugenia Ave,San Francisco,CA,94110,Not rated,7,4,$933000 $937866 $1046797,$1140600 $795600 $1023800,$913995 $867865 $940780
"1,669,000",2,2,1719,,971,Condo,1983,1 Car,101 Lombard St Apt 712W,San Francisco,CA,94111,8,6,8,$1586000 $1865674 $1624488,$1798400 $1368000 $1618300,$2013650 $1511646 $1743147
"1,080,000",2,1,1280,2487,844,Single Family Home,1927,,78 Rudden Ave,San Francisco,CA,94112,6,7,5,$1366000 $1078128 $1452046,$1390200 $978700 $1312500,$1102255 $1011360 $1147246
"1,299,000",2,1,1350,3358,962,Single Family Home,1914,,120 Capistrano Ave,San Francisco,CA,94112,6,7,5,$1305000 $1107348 $1491399,$1600100 $1163400 $1537600,$1524461 $1220265 $1495100
"2,749,000",5,5,3891,5749,707,Single Family Home,1922,,255 Ashton Ave,San Francisco,CA,94112,4,8,6,$2750000 $2481687 $2774931,$2892000- $2857600,$2128555 $2722541 $2938363
"2,300,000",3,2.5,1635,1918,"1,407",Single Family Home,1914,,4201 22nd St,San Francisco,CA,94114,9,2,7,$2328000 $1986238 $2323364,$2600700 $2111000 $2511200,$2283734 $2189769 $2380766
